interval_start,region,price_aud_per_mwh
2025-12-31 08:20:00,SA1,-48.18661
2025-12-31 08:20:00,TAS1,40.1
2025-12-31 08:20:00,VIC1,-50.11
2025-12-31 08:25:00,NSW1,-5.51
2025-12-31 08:25:00,QLD1,-6.51
2025-12-31 08:25:00,SA1,-89.0
2025-12-31 08:25:00,TAS1,65.02
2025-12-31 08:25:00,VIC1,-50.72
2025-12-31 08:30:00,TAS1,66.02
2025-12-31 08:30:00,NSW1,-7.22906
2025-12-31 08:30:00,QLD1,-6.5
2025-12-31 08:30:00,SA1,-49.41312
2025-12-31 08:30:00,VIC1,-50.72
2025-12-31 08:35:00,NSW1,-7.98162
2025-12-31 08:35:00,QLD1,-7.16
2025-12-31 08:35:00,SA1,-55.21566
2025-12-31 08:35:00,TAS1,57.83533
2025-12-31 08:35:00,VIC1,-60.0
2025-12-31 08:40:00,NSW1,-8.92044
2025-12-31 08:40:00,QLD1,-8.2
2025-12-31 08:40:00,SA1,-59.0
2025-12-31 08:40:00,TAS1,67.58591
2025-12-31 08:40:00,VIC1,-50.72
2025-12-31 08:45:00,NSW1,-7.1267
2025-12-31 08:45:00,QLD1,-6.51
2025-12-31 08:45:00,SA1,-59.0
2025-12-31 08:45:00,TAS1,39.12
2025-12-31 08:45:00,VIC1,-64.47413
2025-12-31 08:50:00,NSW1,-8.33493
2025-12-31 08:50:00,QLD1,-8.2
2025-12-31 08:50:00,SA1,-39.22944
2025-12-31 08:50:00,TAS1,40.1
2025-12-31 08:50:00,VIC1,-43.15517
2025-12-31 08:55:00,NSW1,-7.04168
2025-12-31 08:55:00,QLD1,-6.26
2025-12-31 09:00:00,NSW1,-8.34839
2025-12-31 08:55:00,SA1,-89.1
2025-12-31 08:55:00,TAS1,39.12
2025-12-31 08:55:00,VIC1,-66.31
2025-12-31 09:00:00,QLD1,-8.21
2025-12-31 09:00:00,SA1,-44.02548
2025-12-31 09:00:00,TAS1,39.12
2025-12-31 09:00:00,VIC1,-50.01
2025-12-31 09:05:00,NSW1,-7.27543
2025-12-31 09:05:00,QLD1,-6.51
2025-12-31 09:05:00,SA1,-54.76836
2025-12-31 09:05:00,TAS1,39.1
2025-12-31 09:05:00,VIC1,-60.49
2025-12-31 09:10:00,NSW1,-7.35071
2025-12-31 09:10:00,QLD1,-6.5
2025-12-31 09:10:00,SA1,-50.60751
2025-12-31 09:10:00,TAS1,39.1
2025-12-31 09:10:00,VIC1,-60.0
2025-12-31 09:15:00,NSW1,34.7269
2025-12-31 09:15:00,QLD1,-6.26
2025-12-31 09:15:00,SA1,-99.99999
2025-12-31 09:15:00,TAS1,39.12
2025-12-31 09:15:00,VIC1,-66.31
2025-12-31 09:20:00,NSW1,58.43422
2025-12-31 09:20:00,QLD1,-6.51
2025-12-31 09:20:00,SA1,-51.76764
2025-12-31 09:20:00,TAS1,39.1
2025-12-31 09:25:00,SA1,-48.74955
2025-12-31 09:20:00,VIC1,-59.46
2025-12-31 09:25:00,NSW1,43.52643
2025-12-31 09:25:00,QLD1,-7.28
2025-12-31 09:25:00,TAS1,39.1
2025-12-31 09:25:00,VIC1,-57.0
2025-12-31 09:30:00,NSW1,133.28569
2025-12-31 09:30:00,QLD1,-6.49
2025-12-31 09:30:00,SA1,-268.61149
2025-12-31 09:30:00,TAS1,39.08
2025-12-31 09:30:00,VIC1,-59.46
2025-12-31 09:35:00,NSW1,-5.51
2025-12-31 09:35:00,QLD1,-8.2
2025-12-31 09:35:00,SA1,-52.39411
2025-12-31 09:35:00,TAS1,39.12
2025-12-31 09:35:00,VIC1,-60.0
2025-12-31 09:40:00,NSW1,-4.46349
2025-12-31 09:40:00,QLD1,-6.49
2025-12-31 09:40:00,SA1,-53.57522
2025-12-31 09:40:00,TAS1,39.12
2025-12-31 09:40:00,VIC1,-60.0
2025-12-31 09:45:00,NSW1,59.40819
2025-12-31 09:45:00,QLD1,-7.51
2025-12-31 09:45:00,SA1,-51.47921
2025-12-31 09:45:00,TAS1,39.1
2025-12-31 09:45:00,VIC1,-60.0
2025-12-31 09:50:00,NSW1,75.00319
2025-12-31 09:50:00,VIC1,-62.95
2025-12-31 09:50:00,QLD1,-7.28
2025-12-31 09:50:00,SA1,-89.0
2025-12-31 09:50:00,TAS1,39.12
2025-12-31 09:55:00,NSW1,44.06174
2025-12-31 09:55:00,QLD1,-8.2
2025-12-31 09:55:00,SA1,-48.78822
2025-12-31 09:55:00,TAS1,39.12
2025-12-31 09:55:00,VIC1,-57.0
2025-12-31 10:00:00,NSW1,5.06513
2025-12-31 10:00:00,QLD1,-8.21
2025-12-31 10:00:00,SA1,-121.0
2025-12-31 10:00:00,TAS1,39.12
2025-12-31 10:00:00,VIC1,-62.95
2025-12-31 10:05:00,NSW1,78.0
2025-12-31 10:05:00,QLD1,-8.21
2025-12-31 10:05:00,SA1,-59.0
2025-12-31 10:05:00,TAS1,40.1
