interval_start,region,demand_mw
2025-12-31 03:40:00,VIC1,3731.98
2025-12-31 03:45:00,NSW1,5981.74
2025-12-31 03:45:00,SA1,1312.74
2025-12-31 03:45:00,TAS1,883.25
2025-12-31 03:45:00,VIC1,3760.82
2025-12-31 03:50:00,NSW1,5962.93
2025-12-31 03:50:00,QLD1,5620.25
2025-12-31 03:50:00,SA1,1315.16
2025-12-31 03:50:00,TAS1,875.07
2025-12-31 03:50:00,VIC1,3753.0
2025-12-31 03:55:00,NSW1,5968.05
2025-12-31 03:55:00,QLD1,5602.47
2025-12-31 03:55:00,SA1,1299.11
2025-12-31 03:55:00,TAS1,875.2
2025-12-31 03:55:00,VIC1,3736.84
2025-12-31 04:00:00,NSW1,6003.94
2025-12-31 04:00:00,QLD1,5626.21
2025-12-31 04:00:00,SA1,1308.2
2025-12-31 04:00:00,TAS1,877.74
2025-12-31 04:05:00,SA1,1309.95
2025-12-31 04:00:00,VIC1,3771.33
2025-12-31 04:05:00,NSW1,5952.68
2025-12-31 04:05:00,QLD1,5646.49
2025-12-31 04:05:00,TAS1,887.79
2025-12-31 04:05:00,VIC1,3805.5
2025-12-31 04:10:00,NSW1,5982.79
2025-12-31 04:10:00,QLD1,5723.24
2025-12-31 04:10:00,SA1,1333.11
2025-12-31 04:10:00,TAS1,891.56
2025-12-31 04:10:00,VIC1,3822.85
2025-12-31 04:15:00,NSW1,5941.36
2025-12-31 04:15:00,QLD1,5718.69
2025-12-31 04:15:00,SA1,1339.84
2025-12-31 04:15:00,TAS1,889.65
2025-12-31 04:15:00,VIC1,3844.83
2025-12-31 04:20:00,NSW1,5948.87
2025-12-31 04:20:00,QLD1,5795.93
2025-12-31 04:20:00,SA1,1359.73
2025-12-31 04:20:00,TAS1,890.19
2025-12-31 04:20:00,VIC1,3819.8
2025-12-31 04:25:00,TAS1,821.32
2025-12-31 04:25:00,NSW1,6064.12
2025-12-31 04:25:00,QLD1,5676.83
2025-12-31 04:25:00,SA1,1361.44
2025-12-31 04:25:00,VIC1,3852.42
2025-12-31 04:30:00,NSW1,6025.57
2025-12-31 04:30:00,QLD1,5714.55
2025-12-31 04:30:00,SA1,1346.66
2025-12-31 04:30:00,TAS1,783.45
2025-12-31 04:30:00,VIC1,3827.02
2025-12-31 04:35:00,NSW1,6020.51
2025-12-31 04:35:00,QLD1,5729.81
2025-12-31 04:35:00,SA1,1340.49
2025-12-31 04:35:00,TAS1,786.49
2025-12-31 04:35:00,VIC1,3850.06
2025-12-31 04:40:00,NSW1,6035.64
2025-12-31 04:40:00,QLD1,5705.0
2025-12-31 04:40:00,SA1,1336.64
2025-12-31 04:40:00,TAS1,797.91
2025-12-31 04:40:00,VIC1,3864.88
2025-12-31 04:45:00,NSW1,6022.44
2025-12-31 04:45:00,VIC1,3906.6
2025-12-31 04:45:00,QLD1,5722.69
2025-12-31 04:45:00,SA1,1360.93
2025-12-31 04:45:00,TAS1,810.22
2025-12-31 04:50:00,NSW1,6041.73
2025-12-31 04:50:00,QLD1,5710.59
2025-12-31 04:50:00,SA1,1358.26
2025-12-31 04:50:00,TAS1,804.97
2025-12-31 04:50:00,VIC1,3946.95
2025-12-31 04:55:00,NSW1,6060.16
2025-12-31 04:55:00,QLD1,5662.88
2025-12-31 04:55:00,SA1,1363.27
2025-12-31 04:55:00,TAS1,806.12
2025-12-31 04:55:00,VIC1,3901.44
2025-12-31 05:00:00,NSW1,6107.0
2025-12-31 05:00:00,QLD1,5698.38
2025-12-31 05:00:00,SA1,1374.87
2025-12-31 05:00:00,TAS1,797.36
2025-12-31 05:00:00,VIC1,3916.49
2025-12-31 05:05:00,NSW1,6114.46
2025-12-31 05:05:00,QLD1,5679.34
2025-12-31 05:10:00,NSW1,6167.89
2025-12-31 05:05:00,SA1,1362.36
2025-12-31 05:05:00,TAS1,791.05
2025-12-31 05:05:00,VIC1,3927.7
2025-12-31 05:10:00,QLD1,5652.6
2025-12-31 05:10:00,SA1,1382.67
2025-12-31 05:10:00,TAS1,867.57
2025-12-31 05:10:00,VIC1,3955.12
2025-12-31 05:15:00,NSW1,6121.69
2025-12-31 05:15:00,QLD1,5685.01
2025-12-31 05:15:00,SA1,1363.81
2025-12-31 05:15:00,TAS1,895.84
2025-12-31 05:15:00,VIC1,3970.06
2025-12-31 05:20:00,NSW1,6101.23
2025-12-31 05:20:00,QLD1,5739.62
2025-12-31 05:20:00,SA1,1394.86
2025-12-31 05:20:00,TAS1,898.05
2025-12-31 05:20:00,VIC1,3932.4
2025-12-31 05:25:00,NSW1,6051.89
2025-12-31 05:25:00,QLD1,5626.85
2025-12-31 05:25:00,SA1,1374.32
2025-12-31 05:30:00,QLD1,5610.66
2025-12-31 05:25:00,TAS1,892.03
2025-12-31 05:25:00,VIC1,3962.08
2025-12-31 05:30:00,NSW1,6067.53
2025-12-31 05:30:00,SA1,1364.14
2025-12-31 05:30:00,TAS1,886.29
2025-12-31 05:30:00,VIC1,3940.72
2025-12-31 05:35:00,NSW1,6006.54
2025-12-31 05:35:00,QLD1,5615.88
2025-12-31 05:35:00,SA1,1356.06
2025-12-31 05:35:00,TAS1,889.6
2025-12-31 05:35:00,VIC1,3920.58
2025-12-31 05:40:00,NSW1,6077.2
2025-12-31 05:40:00,QLD1,5558.99
2025-12-31 05:40:00,SA1,1370.6
2025-12-31 05:40:00,TAS1,891.2
2025-12-31 05:40:00,VIC1,3965.42
2025-12-31 05:45:00,NSW1,6057.17
2025-12-31 05:45:00,QLD1,5534.62
2025-12-31 05:45:00,SA1,1371.71
2025-12-31 05:45:00,TAS1,895.0
2025-12-31 05:50:00,SA1,1368.6
2025-12-31 05:45:00,VIC1,3952.27
2025-12-31 05:50:00,NSW1,6009.16
2025-12-31 05:50:00,QLD1,5518.58
2025-12-31 05:50:00,TAS1,898.49
2025-12-31 05:50:00,VIC1,3946.2
2025-12-31 05:55:00,NSW1,6029.7
2025-12-31 05:55:00,QLD1,5479.57
2025-12-31 05:55:00,SA1,1350.94
2025-12-31 05:55:00,TAS1,907.39
2025-12-31 05:55:00,VIC1,3970.16
2025-12-31 06:00:00,NSW1,6010.86
2025-12-31 06:00:00,QLD1,5428.3
2025-12-31 06:00:00,SA1,1329.32
2025-12-31 06:00:00,TAS1,909.88
2025-12-31 06:00:00,VIC1,3962.73
2025-12-31 06:05:00,NSW1,5986.89
2025-12-31 06:05:00,QLD1,5467.69
2025-12-31 06:05:00,SA1,1325.52
2025-12-31 06:05:00,TAS1,912.16
2025-12-31 06:10:00,SA1,1328.23
2025-12-31 06:05:00,VIC1,3977.72
2025-12-31 06:10:00,NSW1,5977.32
2025-12-31 06:10:00,QLD1,5460.03
2025-12-31 06:10:00,TAS1,919.2
2025-12-31 06:10:00,VIC1,3956.47
2025-12-31 06:15:00,NSW1,5951.54
2025-12-31 06:15:00,QLD1,5415.48
2025-12-31 06:15:00,SA1,1306.09
2025-12-31 06:15:00,TAS1,924.09
2025-12-31 06:15:00,VIC1,3969.78
2025-12-31 06:20:00,NSW1,5947.98
2025-12-31 06:20:00,QLD1,5423.01
2025-12-31 06:20:00,SA1,1308.88
2025-12-31 06:20:00,TAS1,925.7
2025-12-31 06:20:00,VIC1,4005.98
2025-12-31 06:25:00,NSW1,5958.42
2025-12-31 06:25:00,QLD1,5407.98
2025-12-31 06:25:00,SA1,1295.23
2025-12-31 06:25:00,TAS1,925.66
2025-12-31 06:30:00,SA1,1289.77
2025-12-31 06:25:00,VIC1,3979.09
2025-12-31 06:30:00,NSW1,5871.29
2025-12-31 06:30:00,QLD1,5444.92
2025-12-31 06:30:00,TAS1,930.93
2025-12-31 06:30:00,VIC1,3938.58
2025-12-31 06:35:00,NSW1,5860.25
2025-12-31 06:35:00,QLD1,5343.01
2025-12-31 06:35:00,SA1,1283.21
2025-12-31 06:35:00,TAS1,945.18
2025-12-31 06:35:00,VIC1,3964.29
2025-12-31 06:40:00,NSW1,5816.3
2025-12-31 06:40:00,QLD1,5338.72
2025-12-31 06:40:00,SA1,1265.54
2025-12-31 06:40:00,TAS1,951.12
2025-12-31 06:40:00,VIC1,3933.05
2025-12-31 06:45:00,NSW1,5781.09
2025-12-31 06:45:00,QLD1,5292.79
2025-12-31 06:45:00,SA1,1272.17
2025-12-31 06:45:00,TAS1,939.63
2025-12-31 06:50:00,SA1,1260.85
2025-12-31 06:45:00,VIC1,3911.7
2025-12-31 06:50:00,NSW1,5682.65
2025-12-31 06:50:00,QLD1,5276.89
2025-12-31 06:50:00,TAS1,942.96
2025-12-31 06:50:00,VIC1,3829.22
2025-12-31 06:55:00,NSW1,5643.72
2025-12-31 06:55:00,QLD1,5224.63
2025-12-31 06:55:00,SA1,1260.5
2025-12-31 06:55:00,TAS1,955.99
2025-12-31 06:55:00,VIC1,3839.1
2025-12-31 07:00:00,NSW1,5578.79
2025-12-31 07:00:00,QLD1,5179.47
2025-12-31 07:00:00,SA1,1230.79
2025-12-31 07:00:00,TAS1,967.24
2025-12-31 07:00:00,VIC1,3760.15
2025-12-31 07:05:00,NSW1,5650.74
2025-12-31 07:05:00,QLD1,5091.64
2025-12-31 07:05:00,SA1,1225.52
2025-12-31 07:05:00,TAS1,966.26
2025-12-31 07:10:00,SA1,1194.37
2025-12-31 07:05:00,VIC1,3760.8
2025-12-31 07:10:00,NSW1,5693.79
2025-12-31 07:10:00,QLD1,5101.92
2025-12-31 07:10:00,TAS1,953.61
2025-12-31 07:10:00,VIC1,3685.99
2025-12-31 07:15:00,NSW1,5651.38
2025-12-31 07:15:00,QLD1,5143.88
2025-12-31 07:15:00,SA1,1153.03
2025-12-31 07:15:00,TAS1,942.85
2025-12-31 07:15:00,VIC1,3711.03
2025-12-31 07:20:00,NSW1,5612.48
2025-12-31 07:20:00,QLD1,5155.56
2025-12-31 07:20:00,SA1,1138.91
2025-12-31 07:20:00,TAS1,943.25
2025-12-31 07:20:00,VIC1,3685.1
2025-12-31 07:25:00,NSW1,5643.5
2025-12-31 07:25:00,QLD1,5048.2
2025-12-31 07:25:00,SA1,1110.54
2025-12-31 07:25:00,TAS1,926.28
2025-12-31 07:30:00,SA1,1096.26
2025-12-31 07:25:00,VIC1,3631.2
2025-12-31 07:30:00,NSW1,5671.29
2025-12-31 07:30:00,QLD1,4925.2
2025-12-31 07:30:00,TAS1,920.21
2025-12-31 07:30:00,VIC1,3673.34
2025-12-31 07:35:00,NSW1,5664.94
2025-12-31 07:35:00,QLD1,4974.0
2025-12-31 07:35:00,SA1,1146.23
2025-12-31 07:35:00,TAS1,923.31
2025-12-31 07:35:00,VIC1,3628.8
2025-12-31 07:40:00,NSW1,5641.48
2025-12-31 07:40:00,QLD1,4876.63
2025-12-31 07:40:00,SA1,1010.61
2025-12-31 07:40:00,TAS1,925.59
2025-12-31 07:40:00,VIC1,3521.57
2025-12-31 07:45:00,NSW1,5593.83
2025-12-31 07:45:00,QLD1,4966.16
2025-12-31 07:45:00,SA1,997.45
2025-12-31 07:45:00,TAS1,911.7
2025-12-31 07:50:00,SA1,962.85
2025-12-31 07:45:00,VIC1,3522.96
2025-12-31 07:50:00,NSW1,5520.62
2025-12-31 07:50:00,QLD1,4734.72
2025-12-31 07:50:00,TAS1,906.31
2025-12-31 07:50:00,VIC1,3528.51
2025-12-31 07:55:00,NSW1,5458.5
2025-12-31 07:55:00,QLD1,4781.99
2025-12-31 07:55:00,SA1,981.16
2025-12-31 07:55:00,TAS1,898.97
2025-12-31 07:55:00,VIC1,3490.91
2025-12-31 08:00:00,NSW1,5379.34
2025-12-31 08:00:00,QLD1,4682.62
2025-12-31 08:00:00,SA1,935.76
2025-12-31 08:00:00,TAS1,911.4
2025-12-31 08:00:00,VIC1,3366.36
2025-12-31 08:05:00,NSW1,5297.99
2025-12-31 08:05:00,QLD1,4667.41
2025-12-31 08:05:00,SA1,914.89
2025-12-31 08:05:00,TAS1,902.56
2025-12-31 08:10:00,SA1,881.08
2025-12-31 08:05:00,VIC1,3372.66
2025-12-31 08:10:00,NSW1,5320.61
2025-12-31 08:10:00,QLD1,4720.14
2025-12-31 08:10:00,TAS1,914.96
2025-12-31 08:10:00,VIC1,3370.9
2025-12-31 08:15:00,NSW1,5409.98
2025-12-31 08:15:00,QLD1,4598.1
2025-12-31 08:15:00,SA1,838.64
2025-12-31 08:15:00,TAS1,913.26
2025-12-31 08:15:00,VIC1,3273.4
2025-12-31 08:20:00,NSW1,5330.69
2025-12-31 08:20:00,QLD1,4669.59
2025-12-31 08:20:00,SA1,795.89
2025-12-31 08:20:00,TAS1,896.87
2025-12-31 08:20:00,VIC1,3303.1
2025-12-31 08:25:00,NSW1,5376.58
2025-12-31 08:25:00,QLD1,4530.48
2025-12-31 08:25:00,SA1,782.58
2025-12-31 08:25:00,TAS1,886.81
